file_name,text
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","มีบอร์ดเกมอะไรที่ดัดแปลงมาจากการ์ตูนญี่ปุ่นเกี่ยวกับการสำรวจดันเจียนบ้าง?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","เกมบอร์ดไหนให้เราเล่นเป็นหัวหน้าปาร์ตี้อย่าง ไลออส หรือ คาบรู?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","มีเกมบอร์ดที่เกี่ยวกับการปรุงอาหารจากมอนสเตอร์ในดันเจียนไหม?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","เกมไหนที่ต้องสำรวจดันเจียนให้ครบ 100% ถึงจะเจอบอส?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","อยากได้บอร์ดเกมที่มีระบบแบ่งดันเจียนเป็นสองชั้น มีเกมไหนบ้าง?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","เกมอะไรที่จบลงเมื่อปราบจอมเวทคลั่งทิสเซิลได้?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","เกมบอร์ดที่ใช้คะแนนจากไอเทม มอนสเตอร์ และโทเคนเงินคือเกมอะไร?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","มีเกมบอร์ดที่ได้แรงบันดาลใจจากสูตรลับตำรับดันเจียนไหม?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","เกมไหนที่ถ้าเราไม่สำรวจดันเจียนชั้นล่างให้ครบจะโดนหักคะแนน?"
"Monster Eater Dungeon Meshi (TH) มอนสเตอร์อีทเตอร์ สูตรลับตำรับดันเจียน","อยากได้เกมผจญภัยแนวทีมเวิร์คสำรวจดันเจียนจากการ์ตูนญี่ปุ่น แนะนำหน่อย"
"[Pre-Order] Rumble Nation (TH) สงครามซามูไร","มีบอร์ดเกมอะไรที่อิงจากประวัติศาสตร์ญี่ปุ่นยุคเซ็งโงกุบ้าง?"
"[Pre-Order] Rumble Nation (TH) สงครามซามูไร","เกมไหนที่ให้เราเล่นเป็นผู้นำกองทัพซามูไรเพื่อรวมแผ่นดินญี่ปุ่น?"
"[Pre-Order] Rumble Nation (TH) สงครามซามูไร","เกมไหนมีช่วงเตรียมทัพก่อนเข้าสู่ช่วงสงครามจริง?"
"[Pre-Order] Rumble Nation (TH) สงครามซามูไร","มีเกมบอร์ดที่เล่นเกี่ยวกับการยึดครองปราสาทในญี่ปุ่นไหม?"
"[Pre-Order] Rumble Nation (TH) สงครามซามูไร","อยากได้เกมที่เล่นเป็นแม่ทัพซามูไรในยุคเซ็งโงกุ มีแนะนำไหม?"
"[Pre-Order] Rumble Nation (TH) สงครามซามูไร","เกมบอร์ดที่มีธีมสงครามกลางเมืองของญี่ปุ่นในอดีตคือเกมอะไร?"
"[กล่องบุบ] Love Letter (TH) 2019 เกมจดหมายรัก","มีเกมบอร์ดไหนที่ต้องส่งจดหมายรักให้เจ้าหญิงไหม?"
"[กล่องบุบ] Love Letter (TH) 2019 เกมจดหมายรัก","มีเกมปาร์ตี้ที่เกี่ยวกับการกำจัดศัตรูหัวใจเพื่อชนะใจเจ้าหญิงไหม?"
"Bloody Inn (TH) โรงแรมสีเลือด","มีเกมบอร์ดที่ให้เราเล่นเป็นฆาตกรในโรงแรมไหม?"
"Bloody Inn (TH) โรงแรมสีเลือด","เกมไหนที่ให้เราเล่นเป็นเจ้าของโรงแรมที่มีการฆาตกรรมเกิดขึ้น?"
"Bloody Inn (TH) โรงแรมสีเลือด","มีเกมที่ให้เราเล่นเป็นฆาตกรที่ต้องซ่อนศพในโรงแรมไหม?"
"Bloody Inn (TH) โรงแรมสีเลือด","เกมไหนที่ให้เราเล่นเป็นฆาตกรที่ต้องจัดการกับศพในโรงแรม?"
"Exploding Minions (TH) มินเนี่ยน ระเบิด","มีเกมที่เกี่ยวกับมินเนี่ยนที่ต้องระวังระเบิดไหม?"
Exploding Minions (TH) มินเนี่ยน ระเบิด","เกมไหนที่มีมินเนี่ยนเป็นตัวละครหลัก?"
"Exploding Minions (TH) มินเนี่ยน ระเบิด","มีเกมที่ให้เราเล่นเป็นมินเนี่ยนที่ต้องหลบระเบิดไหม?"
"Dobble minions (TH) ด็อบเบิล มินเนี่ยน","มีเกมที่เกี่ยวกับการจับคู่ภาพมินเนี่ยนไหม?"
"Dobble minions (TH) ด็อบเบิล มินเนี่ยน","เกมไหนที่ให้เราเล่นเป็นมินเนี่ยนที่ต้องจับคู่ภาพ?"
"Dobble minions (TH) ด็อบเบิล มินเนี่ยน","มีเกมที่ให้เราเล่นเป็นมินเนี่ยนที่ต้องจับคู่ภาพให้เร็วที่สุดไหม?"
"When I Dream (TH) นักท่องฝัน","มีเกมที่เกี่ยวกับการทำนายความฝันไหม?"
"When I Dream (TH) นักท่องฝัน","เกมไหนที่ให้เราเล่นเป็นนักท่องฝันที่ต้องทำนายความฝัน?"
"When I Dream (TH) นักท่องฝัน","มีเกมที่ให้เราเล่นเป็นนักท่องฝันที่ต้องทำนายความฝันให้ถูกต้องไหม?"
"Qubik (TH/EN) คิวบิค","มีเกมที่เกี่ยวกับการสร้างรูปทรงเรขาคณิตไหม?"
"Qubik (TH/EN) คิวบิค","เกมไหนที่ให้เราเล่นเป็นนักออกแบบรูปทรงเรขาคณิต?"
"Qubik (TH/EN) คิวบิค","มีเกมที่พลัดกันสร้างรูปทรงเรขาคณิตไหม?"
"[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล","มีเกมที่เกี่ยวกับการสร้าง 7 สิ่งมหัศจรรย์ไหม?"
"[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล","เกมเกี่ยวกับ 7 สิ่งมหัศจรรย์ของโลกมีไหม?"
"[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล","มีเกมแนวพัฒนาอารยธรรมแนะนำไหม?"
"[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล","อยากเล่นเกมกลยุทธ์แนวประวัติศาสตร์?"
"[กล่องบุบ] 7 Wonders duel (TH) 7 สิ่งมหัศจรรย์ ดวล","อยากเล่นเกมที่รู้สึกเหมือนเป็นผู้นำอารยธรรมในยุคโบราณ?"
